timestamp,hr
1773844259.087965,90
1773844260.076648,91
1773844261.0819972,91
1773844262.0875788,90
1773844263.077478,88
1773844264.083283,87
1773844265.087358,86
1773844266.077379,86
1773844267.0809028,87
1773844268.0859652,87
1773844269.075648,88
1773844270.095881,90
1773844271.088921,91
1773844272.076619,92
1773844273.083864,92
1773844274.087971,91
1773844275.078953,83
1773844276.081408,81
1773844277.087338,80
1773844278.077049,79
1773844279.084189,79
1773844280.086735,80
1773844281.076262,81
1773844282.081357,83
1773844283.086754,84
1773844284.077086,85
1773844285.081913,85
1773844286.104185,85
1773844287.312001,86
1773844288.181531,86
1773844289.48752,86
1773844290.3569438,87
1773844291.22652,87
1773844292.096189,87
1773844293.402556,86
1773844294.2713192,86
1773844295.146253,86
1773844296.451308,85
1773844297.322316,85
1773844298.191272,86
1773844299.497364,86
1773844300.366953,87
1773844301.2359931,87
1773844302.1063051,87
1773844303.41232,86
1773844304.281718,87
1773844305.151829,87
1773844306.456521,89
1773844307.3269382,90
1773844308.195903,92
1773844309.502207,92
1773844310.372471,91
1773844311.242708,90
1773844312.112111,88
1773844313.416121,86
1773844314.287692,85
1773844315.156796,85
1773844316.462592,85
1773844317.3323689,85
