time,t_wall,t_device_ns,ecg
0.000000,1775806500.181455,599619640850196140,-76
0.007692,1775806500.181455,599619640850196140,-76
0.015385,1775806500.181455,599619640850196140,-74
0.023077,1775806500.181455,599619640850196140,-76
0.030769,1775806500.181455,599619640850196140,-78
0.038461,1775806500.181455,599619640850196140,-72
0.046154,1775806500.181455,599619640850196140,-74
0.053846,1775806500.181455,599619640850196140,-81
0.061538,1775806500.181455,599619640850196140,-76
0.069231,1775806500.181455,599619640850196140,-74
0.076923,1775806500.181455,599619640850196140,-76
0.084615,1775806500.181455,599619640850196140,-69
0.092308,1775806500.181455,599619640850196140,-63
0.100000,1775806500.181455,599619640850196140,-67
0.107692,1775806500.181455,599619640850196140,-69
0.115385,1775806500.181455,599619640850196140,-69
0.123077,1775806500.181455,599619640850196140,-69
0.130769,1775806500.181455,599619640850196140,-63
0.138461,1775806500.181455,599619640850196140,-49
0.146154,1775806500.181455,599619640850196140,-33
0.153846,1775806500.181455,599619640850196140,-11
0.161538,1775806500.181455,599619640850196140,11
0.169231,1775806500.181455,599619640850196140,9
0.176923,1775806500.181455,599619640850196140,-20
0.184615,1775806500.181455,599619640850196140,-45
0.192308,1775806500.181455,599619640850196140,-51
0.200000,1775806500.181455,599619640850196140,-56
0.207692,1775806500.181455,599619640850196140,-74
0.215385,1775806500.181455,599619640850196140,-87
0.223077,1775806500.181455,599619640850196140,-94
0.230769,1775806500.181455,599619640850196140,-99
0.238461,1775806500.181455,599619640850196140,-103
0.246154,1775806500.181455,599619640850196140,-103
0.253846,1775806500.181455,599619640850196140,-99
0.261538,1775806500.181455,599619640850196140,-94
0.269231,1775806500.181455,599619640850196140,-90
0.276923,1775806500.181455,599619640850196140,-92
0.284615,1775806500.181455,599619640850196140,-90
0.292308,1775806500.181455,599619640850196140,-83
0.300000,1775806500.181455,599619640850196140,-74
0.307692,1775806500.181455,599619640850196140,-63
0.315385,1775806500.181455,599619640850196140,-58
0.323077,1775806500.181455,599619640850196140,-36
0.330769,1775806500.181455,599619640850196140,110
0.338462,1775806500.181455,599619640850196140,423
0.346154,1775806500.181455,599619640850196140,578
0.353846,1775806500.181455,599619640850196140,146
0.361538,1775806500.181455,599619640850196140,-544
0.369231,1775806500.181455,599619640850196140,-641
0.376923,1775806500.181455,599619640850196140,-198
0.384615,1775806500.181455,599619640850196140,9
0.392308,1775806500.181455,599619640850196140,-69
0.400000,1775806500.181455,599619640850196140,-56
0.407692,1775806500.181455,599619640850196140,-9
0.415385,1775806500.181455,599619640850196140,-40
0.423077,1775806500.181455,599619640850196140,-47
0.430769,1775806500.181455,599619640850196140,-18
0.438462,1775806500.181455,599619640850196140,-18
0.446154,1775806500.181455,599619640850196140,-31
0.453846,1775806500.181455,599619640850196140,-31
0.461538,1775806500.181455,599619640850196140,-20
0.469231,1775806500.181455,599619640850196140,-15
0.476923,1775806500.181455,599619640850196140,-11
0.484615,1775806500.181455,599619640850196140,-4
0.492308,1775806500.181455,599619640850196140,4
0.500000,1775806500.181455,599619640850196140,6
0.507692,1775806500.181455,599619640850196140,13
0.515385,1775806500.181455,599619640850196140,24
0.523077,1775806500.181455,599619640850196140,33
0.530769,1775806500.181455,599619640850196140,51
0.538461,1775806500.181455,599619640850196140,74
0.546154,1775806500.181455,599619640850196140,94
0.553846,1775806500.181455,599619640850196140,119
